Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN),Region _______ _________ (AR),Region _______ _________ (EN),Subject ______ (AR),Subject ______ (EN),Teachers Count ___ ________
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,____ _______ ____,KG Arabic,160
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,____ _______ _______,KG English,30
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_________,Mathematics,230
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_______ _________,Moral Education,4
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_______ _________,Music,24
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,________ __________ ________ _______,National and Social Education,105
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,____ ________,Optional Courses,1
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_______ _______ ,Physical Education and Health,67
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,________,Physics,47
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,______ ______,Professional Skills,2
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_____ ____,Special Education,80
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,______ ________,Sports Sciences,2
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,______ _______,Visual Arts,25
2024-2025,_______ ________,Public,___,DUBAI,______ ________,Agricultural Sciences,2
2024-2025,_______ ________,Public,___,DUBAI,Applied Engineering Mechanical,Applied Engineering Mechanical,1
2024-2025,_______ ________,Public,___,DUBAI,_____ _______,Arabic Language,191
2024-2025,_______ ________,Public,___,DUBAI,Aviation,Aviation,1
2024-2025,_______ ________,Public,___,DUBAI,_______,Biology or Life Science,41
2024-2025,_______ ________,Public,___,DUBAI,_____ _____,Business Management,28
2024-2025,_______ ________,Public,___,DUBAI,_______ ________ ________ _________,CCDI,86
2024-2025,_______ ________,Public,___,DUBAI,________,Chemistry,37
2024-2025,_______ ________,Public,___,DUBAI,_______,Chinese Language,36
2024-2025,_______ ________,Public,___,DUBAI,____ _________,Computer Science,2
2024-2025,_______ ________,Public,___,DUBAI,______ _________,Creative Arts,3
2024-2025,_______ ________,Public,___,DUBAI,_______ ________ _________,Creative Design and Innovation,8
2024-2025,_______ ________,Public,___,DUBAI,_____,Drama,18
2024-2025,_______ ________,Public,___,DUBAI,Engineering Maintenance Electrical,Engineering Maintenance Electrical,3
2024-2025,_______ ________,Public,___,DUBAI,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,4
2024-2025,_______ ________,Public,___,DUBAI,_____ __________,English,234
2024-2025,_______ ________,Public,___,DUBAI,____1,Field 1,39
2024-2025,_______ ________,Public,___,DUBAI,____2,Field 2,51
2024-2025,_______ ________,Public,___,DUBAI,________,French Language,14
2024-2025,_______ ________,Public,___,DUBAI,____ ____,General Science,137
2024-2025,_______ ________,Public,___,DUBAI,______ ______(____)/______ ______ (____),Health Science/Life Skills,13
2024-2025,_______ ________,Public,___,DUBAI,______ ______,Health Sciences,9
2024-2025,_______ ________,Public,___,DUBAI,_____ _______,Information Technology,9
2024-2025,_______ ________,Public,___,DUBAI,_______ _________,Islamic Education,116
2024-2025,_______ ________,Public,___,DUBAI,____ _______ ____,KG Arabic,125
2024-2025,_______ ________,Public,___,DUBAI,____ _______ _______,KG English,19
2024-2025,_______ ________,Public,___,DUBAI,_________,Mathematics,257
2024-2025,_______ ________,Public,___,DUBAI,_______ _________,Moral Education,6
2024-2025,_______ ________,Public,___,DUBAI,_______ _________,Music,31
2024-2025,_______ ________,Public,___,DUBAI,________ __________ ________ _______,National and Social Education,101
2024-2025,_______ ________,Public,___,DUBAI,____ ________,Optional Courses,1
2024-2025,_______ ________,Public,___,DUBAI,_______ _______ ,Physical Education and Health,94
2024-2025,_______ ________,Public,___,DUBAI,________,Physics,59
2024-2025,_______ ________,Public,___,DUBAI,______ ______,Professional Skills,4
2024-2025,_______ ________,Public,___,DUBAI,_________,Spanish Language,1
2024-2025,_______ ________,Public,___,DUBAI,_____ ____,Special Education,88
2024-2025,_______ ________,Public,___,DUBAI,______ _______,Visual Arts,46
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,______ ________,Agricultural Sciences,1
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_____ _______,Arabic Language,243
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,Aviation,Aviation,1
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______,Biology or Life Science,46
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_____ _____,Business Management,21
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______ ________ ________ _________,CCDI,99
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,________,Chemistry,49
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______,Chinese Language,11
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,____ _________,Computer Science,2
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,Computing and Artificial Intelligence,Computing and Artificial Intelligence,3
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,______ _________,Creative Arts,2
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______ ________ _________,Creative Design and Innovation,9
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_____,Drama,32
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,Engineering Maintenance Electrical,Engineering Maintenance Electrical,1
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_____ __________,English,327
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,Extra Curricular Activity,Extra Curricular Activity,1
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,____1,Field 1,64
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,____2,Field 2,76
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,General Science,161
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______,Geography/Economics,1
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,______ ______(____)/______ ______ (____),Health Science/Life Skills,12
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,______ ______,Health Sciences,10
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_____ _______,Information Technology,15
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _________,Islamic Education,143
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_________,Japanese Language,1
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,____ _______ ____,KG Arabic,186
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,____ _______ _______,KG English,10
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______ ____ _____,Learning Resources specialist,1
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_________,Mathematics,325
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _________,Moral Education,7
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _________,Music,42
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,________ __________ ________ _______,National and Social Education,150
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,__ _____,Not Applied,8
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,____ ________,Optional Courses,1
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _______ ,Physical Education and Health,99
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,________,Physics,75
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,______ ______,Professional Skills,2
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_____ ____,Special Education,106
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,______ _______,Visual Arts,50
2024-2025,_______ ________,Public,_____,AJMAN,______ ________,Agricultural Sciences,2
2024-2025,_______ ________,Public,_____,AJMAN,_____ _______,Arabic Language,115
2024-2025,_______ ________,Public,_____,AJMAN,Aviation,Aviation,1
2024-2025,_______ ________,Public,_____,AJMAN,_______,Biology or Life Science,23
2024-2025,_______ ________,Public,_____,AJMAN,_____ _____,Business Management,7
2024-2025,_______ ________,Public,_____,AJMAN,_______ ________ ________ _________,CCDI,59
2024-2025,_______ ________,Public,_____,AJMAN,________,Chemistry,19
2024-2025,_______ ________,Public,_____,AJMAN,_______,Chinese Language,14
2024-2025,_______ ________,Public,_____,AJMAN,_______ ________ _________,Creative Design and Innovation,3
2024-2025,_______ ________,Public,_____,AJMAN,_____,Drama,13
2024-2025,_______ ________,Public,_____,AJMAN,Engineering Maintenance Electrical,Engineering Maintenance Electrical,1
2024-2025,_______ ________,Public,_____,AJMAN,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,3
2024-2025,_______ ________,Public,_____,AJMAN,_____ __________,English,136
2024-2025,_______ ________,Public,_____,AJMAN,____1,Field 1,24
2024-2025,_______ ________,Public,_____,AJMAN,____2,Field 2,25
2024-2025,_______ ________,Public,_____,AJMAN,________,French Language,3
2024-2025,_______ ________,Public,_____,AJMAN,____ ____,General Science,72
2024-2025,_______ ________,Public,_____,AJMAN,______ ______(____)/______ ______ (____),Health Science/Life Skills,9
2024-2025,_______ ________,Public,_____,AJMAN,______ ______,Health Sciences,4
2024-2025,_______ ________,Public,_____,AJMAN,_____ _______,Information Technology,1
2024-2025,_______ ________,Public,_____,AJMAN,_______ _________,Islamic Education,63
2024-2025,_______ ________,Public,_____,AJMAN,____ _______ ____,KG Arabic,106
2024-2025,_______ ________,Public,_____,AJMAN,____ _______ _______,KG English,10
2024-2025,_______ ________,Public,_____,AJMAN,_________,Mathematics,147
2024-2025,_______ ________,Public,_____,AJMAN,_______ _________,Music,22
2024-2025,_______ ________,Public,_____,AJMAN,________ __________ ________ _______,National and Social Education,66
2024-2025,_______ ________,Public,_____,AJMAN,_______ _______ ,Physical Education and Health,49
2024-2025,_______ ________,Public,_____,AJMAN,________,Physics,34
2024-2025,_______ ________,Public,_____,AJMAN,______ ______,Professional Skills,1
2024-2025,_______ ________,Public,_____,AJMAN,_________,Spanish Language,1
2024-2025,_______ ________,Public,_____,AJMAN,_____ ____,Special Education,46
2024-2025,_______ ________,Public,_____,AJMAN,______ _______,Visual Arts,18
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,_____ _______,Arabic Language,9
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,_____ __________,English,23
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,____2,Field 2,3
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,____ ____,General Science,23
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,_____ _______,Information Technology,23
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,_______ _________,Islamic Education,7
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,_________,Mathematics,23
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,_______ _________,Music,1
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,________ __________ ________ _______,National and Social Education,3
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,_______ _______ ,Physical Education and Health,2
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,_____ ____,Special Education,3
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,______ _______,Visual Arts,1
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_____ _______,Arabic Language,14
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_____ __________,English,50
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,____1,Field 1,7
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,____2,Field 2,2
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,____ ____,General Science,48
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_____ _______,Information Technology,25
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_______ _________,Islamic Education,9
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_________,Mathematics,48
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_______ _________,Moral Education,1
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_______ _________,Music,2
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,________ __________ ________ _______,National and Social Education,8
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_______ _______ ,Physical Education and Health,2
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_____ ____,Special Education,5
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,______ _______,Visual Arts,26
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,_____ _______,Arabic Language,13
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,_______ ________ ________ _________,CCDI,2
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____ _________,Computer Science,13
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,_____ __________,English,75
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____1,Field 1,8
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____2,Field 2,30
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____ ____,General Science,24
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,_______ _________,Islamic Education,10
